Model,Train Size (years),Dataset,Error Type,1 day,7 days,14 days,28 days
Prophet,0.5,Hourly - Imputation 1 Average,RMSE,48.333538123939306,54.453004912104156,62.46541997161424,71.11312644508298
Prophet,0.5,Hourly - Imputation 1 Average,R2,0.3683493932783567,0.1357242450688838,-0.06252429492125877,-0.4699265901912151
Prophet,0.5,Hourly - Imputation 1 Average,SMAPE,39.362704815047245,46.69950812725604,52.502761466782424,61.768692837041236
Prophet,0.5,Hourly - Imputation 2 Neighbors,MAE,34.19155225801661,38.17278867607132,42.88788591311575,49.00965520495321
Prophet,0.5,Hourly - Imputation 2 Neighbors,RMSE,48.47532462339026,54.699301443419564,62.836001028296934,71.55682391517605
Prophet,0.5,Hourly - Imputation 2 Neighbors,R2,0.3643335347993617,0.1228538783699108,-0.07783992297056219,-0.4839979992851471
Prophet,0.5,Hourly - Imputation 2 Neighbors,SMAPE,39.401448146351576,46.463916634966566,52.51662399324214,61.58934217864563
F(S)ARIMA,4.0,Daily - Imputation 1 Average,MAE,19.00428639167124,26.430705096648108,26.077885373989524,25.737902436963036
F(S)ARIMA,4.0,Daily - Imputation 1 Average,RMSE,30.71611663304419,35.38180996335106,35.02649809195681,35.115506789700866
F(S)ARIMA,4.0,Daily - Imputation 1 Average,R2,0.5197730988643157,0.45682243698685643,0.4629352881017397,0.4690148667425452
F(S)ARIMA,4.0,Daily - Imputation 1 Average,SMAPE,22.96326911686743,32.16359479458841,31.52816952411644,31.130604856972145
F(S)ARIMA,4.0,Daily - Imputation 2 Neighbors,MAE,18.98692274122219,26.492481315739845,26.098988323621686,25.81572786077518
F(S)ARIMA,4.0,Daily - Imputation 2 Neighbors,RMSE,30.704851464967167,35.43463902277336,35.05276556701286,35.159379101725676
F(S)ARIMA,4.0,Daily - Imputation 2 Neighbors,R2,0.5201252817127766,0.4551991744885622,0.46212946254341924,0.46768724256891525
F(S)ARIMA,4.0,Daily - Imputation 2 Neighbors,SMAPE,22.932727640819067,32.236436575138605,31.525709081383432,31.241130723580167
F(S)ARIMA,4.0,Hourly - Imputation 1 Average,MAE,25.637256099516232,40.44902812292674,45.26747511166442,48.20756559759439
F(S)ARIMA,4.0,Hourly - Imputation 1 Average,RMSE,37.349517080458185,54.118519661179,61.756807177968035,62.73596227291482
F(S)ARIMA,4.0,Hourly - Imputation 1 Average,R2,0.4393394783414657,0.10902258900781969,-0.1709409986735393,-0.19489914648486262
F(S)ARIMA,4.0,Hourly - Imputation 1 Average,SMAPE,36.070161776030325,55.214175103719555,59.67400737202679,71.11105177176579
F(S)ARIMA,4.0,Hourly - Imputation 2 Neighbors,MAE,25.679510088754988,40.620295589855246,45.137932964058265,48.251830157354576
F(S)ARIMA,4.0,Hourly - Imputation 2 Neighbors,RMSE,37.326583653269964,54.2181802800917,61.58318203092867,62.550371973751446
F(S)ARIMA,4.0,Hourly - Imputation 2 Neighbors,R2,0.4427148004553333,0.10590966737462548,-0.16413231047491372,-0.1876226034507935
F(S)ARIMA,4.0,Hourly - Imputation 2 Neighbors,SMAPE,36.198981882568845,55.45106269535946,59.420297791649446,71.21326599205287
F(S)ARIMA,1.0,Daily - Imputation 1 Average,MAE,19.799561301035233,26.389093111423488,27.63772762277454,28.934609450170104
F(S)ARIMA,1.0,Daily - Imputation 1 Average,RMSE,28.759247076849334,41.12401931866307,42.8367385412216,44.572496864935324
F(S)ARIMA,1.0,Daily - Imputation 1 Average,R2,0.7198875868417354,0.3586581289948477,0.30483776455592093,0.24819709578682903
F(S)ARIMA,1.0,Daily - Imputation 1 Average,SMAPE,23.77670488827954,29.0796183998272,29.949465305854257,31.614851131142675
F(S)ARIMA,1.0,Daily - Imputation 2 Neighbors,MAE,19.701492245628206,26.586636770654756,28.154372749929426,29.436746480398476
F(S)ARIMA,1.0,Daily - Imputation 2 Neighbors,RMSE,28.63708173417803,41.31226827519542,43.3837369422114,45.15629525442576
F(S)ARIMA,1.0,Daily - Imputation 2 Neighbors,R2,0.7221366050709765,0.3529392288080959,0.28715389042545625,0.228290535915453
F(S)ARIMA,1.0,Daily - Imputation 2 Neighbors,SMAPE,23.697495006222624,29.34971097592838,30.634218495370206,32.44646155687361
F(S)ARIMA,1.0,Hourly - Imputation 1 Average,MAE,26.268392499924378,38.232490771799746,45.513624135278974,50.66209802455161
F(S)ARIMA,1.0,Hourly - Imputation 1 Average,RMSE,40.97824913639503,56.509213410759614,65.88085721901213,73.5244915537477
F(S)ARIMA,1.0,Hourly - Imputation 1 Average,R2,0.5209776592554696,-0.10995246315273088,-0.5174417305060515,-0.8754779386372433
F(S)ARIMA,1.0,Hourly - Imputation 1 Average,SMAPE,34.920119173940996,48.87198961741749,57.823279046732345,65.70027154985614
F(S)ARIMA,1.0,Hourly - Imputation 2 Neighbors,MAE,25.52063185600362,38.78217419593377,46.384115939495125,51.62504181042709
F(S)ARIMA,1.0,Hourly - Imputation 2 Neighbors,RMSE,37.87172052764964,58.12660702488763,67.67972859710044,75.0363346292205
F(S)ARIMA,1.0,Hourly - Imputation 2 Neighbors,R2,0.5916156037808966,-0.1669783877036981,-0.591145853809748,-0.9415054049043017
F(S)ARIMA,1.0,Hourly - Imputation 2 Neighbors,SMAPE,34.015112440318745,48.52229022896599,57.57566307327643,66.12176725081987
F(S)ARIMA,0.5,Daily - Imputation 1 Average,MAE,25.310323246590112,39.544650293762416,53.32873007089051,76.8215908067618
F(S)ARIMA,0.5,Daily - Imputation 1 Average,RMSE,37.59267355645529,52.76329818701674,70.93942678261581,104.3573940607658
F(S)ARIMA,0.5,Daily - Imputation 1 Average,R2,0.5747108082766383,0.022528939332318587,-0.6210119195104036,-2.4593642418000794
F(S)ARIMA,0.5,Daily - Imputation 1 Average,SMAPE,28.122818238706085,52.45238101035013,66.0772592565433,87.02617456402955
F(S)ARIMA,0.5,Daily - Imputation 2 Neighbors,MAE,25.05635364110147,39.28405543961451,54.03741161980612,77.20097204555731
F(S)ARIMA,0.5,Daily - Imputation 2 Neighbors,RMSE,37.31347545161494,53.108468467085984,71.03238141594021,103.98793835231973
F(S)ARIMA,0.5,Daily - Imputation 2 Neighbors,R2,0.5784661068390727,0.003068197794123595,-0.63542731326712,-2.4528689146360594
F(S)ARIMA,0.5,Daily - Imputation 2 Neighbors,SMAPE,27.851037020731894,51.8403934484828,66.2810659875516,88.4796473478174
F(S)ARIMA,0.5,Hourly - Imputation 1 Average,MAE,27.246599263786322,45.46657059649231,61.5423966917586,99.34907033636553
F(S)ARIMA,0.5,Hourly - Imputation 1 Average,RMSE,39.31710512340775,60.52902775949808,83.92101524649263,129.0974921235379
F(S)ARIMA,0.5,Hourly - Imputation 1 Average,R2,0.5820322149329258,-0.06791337320961821,-0.9177897760251565,-3.844307605449284
F(S)ARIMA,0.5,Hourly - Imputation 1 Average,SMAPE,33.92692330297257,62.99958300366777,84.93633819247324,114.73016771697428
F(S)ARIMA,0.5,Hourly - Imputation 2 Neighbors,MAE,27.326553101710083,45.766490227194915,62.803579824531894,101.69921289454732
F(S)ARIMA,0.5,Hourly - Imputation 2 Neighbors,RMSE,39.17011350681942,60.99370219008377,85.23788036404056,132.32208766420587
F(S)ARIMA,0.5,Hourly - Imputation 2 Neighbors,R2,0.584952780662408,-0.09063235434184613,-0.9833642112641221,-4.074530789423344
F(S)ARIMA,0.5,Hourly - Imputation 2 Neighbors,SMAPE,34.27149971110217,64.55983826123946,87.59239420747747,115.4692736686849
LSTM,4.0,Daily - Imputation 1 Average,MAE,22.014552906799786,37.06035892675954,39.507132591085224,42.33047966923274
LSTM,4.0,Daily - Imputation 1 Average,RMSE,33.41058200759049,45.15948491396169,48.298613885968095,49.88181900772463
LSTM,4.0,Daily - Imputation 1 Average,R2,0.43182522238530263,0.1151295531543759,-0.021180501299718824,-0.07144293382364109
LSTM,4.0,Daily - Imputation 1 Average,SMAPE,26.039092279857844,45.14253133662736,47.42619643474351,50.95194944914108
LSTM,4.0,Daily - Imputation 2 Neighbors,MAE,23.86544139578576,36.17708777028618,36.927708808411936,39.2324004207097
LSTM,4.0,Daily - Imputation 2 Neighbors,RMSE,36.41010616749735,44.693467772332276,47.7516910178361,47.88682997682026
LSTM,4.0,Daily - Imputation 2 Neighbors,R2,0.32522690294895906,0.13329792358697867,0.0018158010371759348,0.012546490901312768
LSTM,4.0,Daily - Imputation 2 Neighbors,SMAPE,27.45945762886146,44.44093752962559,44.327008932603114,47.6359558043709
LSTM,4.0,Hourly - Imputation 1 Average,MAE,33.38097585584116,84.03948736426379,84.80996850812963,84.68207765132823
LSTM,4.0,Hourly - Imputation 1 Average,RMSE,44.72091565284177,162.0413855161682,162.9719366337922,163.24620068049347
LSTM,4.0,Hourly - Imputation 1 Average,R2,0.2945900917780566,-9.576442100936317,-9.591815722361973,-9.714339448743843
LSTM,4.0,Hourly - Imputation 1 Average,SMAPE,41.467807203868254,66.0235551977691,67.61211516987106,70.93344135274164
LSTM,4.0,Hourly - Imputation 2 Neighbors,MAE,32.693668556551565,138.3788015470437,155.42058765803668,167.15837429939432
LSTM,4.0,Hourly - Imputation 2 Neighbors,RMSE,42.42733118758717,223.11498572750406,250.08012940885155,267.0245301967743
LSTM,4.0,Hourly - Imputation 2 Neighbors,R2,0.3705756216181817,-18.95958693638946,-23.828407687985656,-27.666954410004852
LSTM,4.0,Hourly - Imputation 2 Neighbors,SMAPE,40.82274216834941,81.37050121281302,83.1104113427909,91.33305161790514
LSTM,1.0,Daily - Imputation 1 Average,MAE,32.78047476928563,43.561468445972906,44.99765209953093,43.66848012556778
LSTM,1.0,Daily - Imputation 1 Average,RMSE,45.44911963732455,55.02092140440005,56.57135158890648,55.0645255394722
LSTM,1.0,Daily - Imputation 1 Average,R2,0.3004346642576249,-0.148032554552457,-0.21240155815033135,-0.1473974380907892
LSTM,1.0,Daily - Imputation 1 Average,SMAPE,37.366114373917945,49.730391049894735,51.26808881354385,49.910401350692375
LSTM,1.0,Daily - Imputation 2 Neighbors,MAE,33.32163237464807,44.11000163732076,45.9731939758225,44.605315666490775
LSTM,1.0,Daily - Imputation 2 Neighbors,RMSE,45.56024971119138,55.375105681541925,56.74796633085278,55.821905847764775
LSTM,1.0,Daily - Imputation 2 Neighbors,R2,0.2966912655505972,-0.1625620058023074,-0.21967036696630893,-0.17930608157793104
LSTM,1.0,Daily - Imputation 2 Neighbors,SMAPE,38.15455459010897,50.340486053512144,52.33476134438788,50.87356563941225
LSTM,1.0,Hourly - Imputation 1 Average,MAE,35.9704188409837,73.52948355983571,82.36055171729303,90.24038460258153
LSTM,1.0,Hourly - Imputation 1 Average,RMSE,50.062140639978715,105.02598438061295,131.0771604382409,150.593033413974
LSTM,1.0,Hourly - Imputation 1 Average,R2,0.33205867823980595,-2.1566234123231705,-3.9179192304582564,-5.93465782543908
LSTM,1.0,Hourly - Imputation 1 Average,SMAPE,44.122852805134535,68.00503233613756,65.87608747097002,71.32054865696053
LSTM,1.0,Hourly - Imputation 2 Neighbors,MAE,37.76372668794906,89.38277721071329,111.34244864300403,119.1781580085022
LSTM,1.0,Hourly - Imputation 2 Neighbors,RMSE,64.13325094589321,278.51248370591384,420.2885668505292,458.2864992353336
LSTM,1.0,Hourly - Imputation 2 Neighbors,R2,-0.09260484349653608,-21.12156605301389,-49.38735316360976,-60.57581903242365
LSTM,1.0,Hourly - Imputation 2 Neighbors,SMAPE,43.975622711771884,65.67383325171207,65.67134368417697,70.17997430907911
LSTM,0.5,Daily - Imputation 1 Average,MAE,38.195519368808796,54.993307698325054,61.97553307811479,64.66614763372125
LSTM,0.5,Daily - Imputation 1 Average,RMSE,52.27913508524733,68.37344982572358,75.74293011523622,79.42665952650798
LSTM,0.5,Daily - Imputation 1 Average,R2,0.17750227250464723,-0.6414022497063567,-0.847970619128674,-1.0039294877755873
LSTM,0.5,Daily - Imputation 1 Average,SMAPE,41.68486795754944,57.347195952310116,63.735289291810325,66.00871014926685
LSTM,0.5,Daily - Imputation 2 Neighbors,MAE,38.59784224250036,55.419529848392315,61.46797989358886,64.7286272979976
LSTM,0.5,Daily - Imputation 2 Neighbors,RMSE,52.78580331103188,68.78464676989566,75.27143062967617,79.30767981994302
LSTM,0.5,Daily - Imputation 2 Neighbors,R2,0.15640234095629446,-0.672325908195518,-0.8364488540246147,-1.0083742482317755
LSTM,0.5,Daily - Imputation 2 Neighbors,SMAPE,41.75906392956465,57.21289728245727,62.74582178694225,65.82197939918275
LSTM,0.5,Hourly - Imputation 1 Average,MAE,39.651620385919,61.75218725644562,76.00990986182113,85.94914812814667
LSTM,0.5,Hourly - Imputation 1 Average,RMSE,60.371313985215345,139.81298981056278,204.1284930866754,239.11943917794696
LSTM,0.5,Hourly - Imputation 1 Average,R2,0.2689870476006977,-4.272505466535269,-11.096526464334017,-14.125611219917108
LSTM,0.5,Hourly - Imputation 1 Average,SMAPE,43.903841691649326,61.04750326156878,64.04120111820886,70.32892243635972
LSTM,0.5,Hourly - Imputation 2 Neighbors,MAE,39.40566467829293,80.46407209709875,97.18621693369876,104.15778033049646
LSTM,0.5,Hourly - Imputation 2 Neighbors,RMSE,60.773545403811404,336.89076454401544,390.7567141390496,398.3181499026223
LSTM,0.5,Hourly - Imputation 2 Neighbors,R2,0.2583559573954991,-29.63110506553162,-43.40229075087226,-39.521822371480134
LSTM,0.5,Hourly - Imputation 2 Neighbors,SMAPE,43.26675972372969,61.506652706172986,62.373294401032105,68.51896427100311
